source,destination,journey_date,airline,stops,seasonality,price
Ratnagiri,Bhubaneswar,2021-04-13,AirAsia,1,0,4760
Nagpur,Vadodara,2022-02-24,AirAsia,0,0,6052
Hyderabad,Chennai,2022-01-19,Air India,1,1,9729
Chennai,Nashik,2023-03-26,AirAsia,2,0,6471
Palakkad,Bareilly,2021-01-27,Air India,2,1,8762
Coimbatore,Surat,2024-10-10,IndiGo,0,0,4937
Gaya,Faridabad,2023-12-20,IndiGo,2,1,8550
Gwalior,Kochi,2024-04-15,AirAsia,1,0,6981
Tiruchirappalli,Jaipur,2021-07-07,AirAsia,1,0,4648
Varanasi,Chandigarh,2025-04-06,Vistara,2,0,10690
Madurai,Gwalior,2024-12-26,Air India,1,1,11679
Rourkela,Lucknow,2022-12-02,Go First,1,1,6398
Gwalior,Aurangabad,2023-06-19,AirAsia,1,1,5720
Hyderabad,Dharwad,2025-07-02,Vistara,0,0,7097
Tirunelveli,Dhanbad,2023-05-21,AirAsia,2,1,8978
Jodhpur,Visakhapatnam,2023-12-21,Air India,1,1,10281
Asansol,Vellore,2025-10-21,Go First,2,0,7247
Nagpur,Ludhiana,2026-07-15,IndiGo,0,0,4124
Rajahmundry,Madurai,2025-09-26,Go First,0,0,5772
Pondicherry,Kakinada,2026-12-08,Vistara,0,1,11583
Bhubaneswar,Tezpur,2023-12-29,AirAsia,1,1,6102
Jamnagar,Madurai,2026-02-02,IndiGo,1,0,7177
Kottayam,Patna,2024-05-07,AirAsia,1,1,6734
Vijayawada,Madurai,2026-12-13,IndiGo,1,1,8290
Bhubaneswar,Guntur,2024-06-13,Air India,0,1,8349
Kochi,Guwahati,2026-06-14,IndiGo,1,1,7757
Kannur,Nanded,2022-11-08,Vistara,2,1,9179
Vellore,Udaipur,2023-04-04,AirAsia,1,0,6852
Salem,Guntur,2025-11-30,Go First,2,1,7561
Surat,Jaipur,2024-10-16,IndiGo,1,0,7092
Mumbai,Kochi,2021-08-30,Air India,0,0,4804
Lucknow,Ludhiana,2023-09-02,Vistara,2,0,8278
Bhopal,Udaipur,2026-04-21,Air India,2,0,9597
Chandigarh,Patna,2025-11-01,Vistara,2,1,11235
Udaipur,Pune,2022-02-08,IndiGo,2,0,8155
Patna,Ambala,2023-02-24,Air India,2,0,7705
Amritsar,Belgaum,2026-03-10,Air India,0,0,8520
Chandigarh,Pune,2021-03-02,IndiGo,1,0,4813
Kollam,Kanpur,2023-05-26,SpiceJet,0,1,5637
Mumbai,Imphal,2023-12-23,SpiceJet,1,1,8331
Udaipur,Nanded,2026-06-17,Air India,1,1,9588
Ahmedabad,Palakkad,2021-09-07,AirAsia,1,0,3636
Noida,Kanpur,2026-08-22,Go First,1,0,5580
Kochi,Dehradun,2021-10-08,Go First,0,0,5746
Itanagar,Indore,2023-10-06,Go First,0,0,5756
Jalandhar,Shimla,2026-11-12,Vistara,1,1,10041
Tirunelveli,Dhanbad,2023-09-05,Vistara,2,0,8174
Rourkela,Bikaner,2026-02-16,Vistara,0,0,6110
Rajkot,Nashik,2022-02-14,IndiGo,1,0,6208
Bhopal,Gaya,2021-10-09,Air India,1,0,6290
Jamshedpur,Mysore,2024-05-24,Go First,0,1,8610
Bikaner,Shimla,2022-03-01,Air India,1,0,5779
Vadodara,Mysore,2022-09-29,Vistara,1,0,8096
Tirunelveli,Erode,2023-04-14,AirAsia,1,0,6957
Ambala,Pune,2022-01-14,AirAsia,2,1,6869
Mumbai,Erode,2022-06-20,AirAsia,1,1,6348
Mysore,Tirunelveli,2025-10-18,Go First,0,0,3803
Tezpur,Coimbatore,2021-05-28,Vistara,1,1,8021
Kolkata,Dhanbad,2025-02-02,IndiGo,1,0,6488
Allahabad,Siliguri,2022-02-26,Vistara,2,0,8890
Agra,Madurai,2022-12-27,SpiceJet,0,1,5360
Jabalpur,Siliguri,2023-10-14,Vistara,1,0,8710
Gwalior,Hyderabad,2026-04-12,Air India,1,0,9197
Calicut,Varanasi,2023-07-03,IndiGo,1,0,6147
Bareilly,Jaipur,2024-02-18,Vistara,2,0,10813
Durgapur,Chennai,2022-04-18,Vistara,1,0,8104
Hyderabad,Bhubaneswar,2025-11-15,Vistara,1,1,10685
Kurnool,Bhubaneswar,2025-04-27,Go First,1,0,5401
